id_partido	competition	fixture	date	city	stadium	resultado	home_team	away_team
3872671	División de Honor Juvenil	Jornada 16	15/01/2023 12:30h	Ciudad: Alcalá De Henares	Estadio: C.D. ALCALÁ (natural)	3 - 0	Club Atlético de Madrid SAD	Real Valladolid C.F. S.A.D.
3872672	División de Honor Juvenil	Jornada 16	15/01/2023 14:00h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	2 - 2	C.F. Fuenlabrada SAD	Rayo Vallecano de Madrid SAD
3872673	División de Honor Juvenil	Jornada 16	15/01/2023 12:00h	Ciudad: Palencia	Estadio: Campos del C.I. Amistad 1	2 - 0	C.D.I. de la Amistad	A.D. Alcorcón SAD
3872674	División de Honor Juvenil	Jornada 16	14/01/2023 16:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	0 - 3	C.D. Badajoz 1905	Real Madrid C.F.
3872675	División de Honor Juvenil	Jornada 16	15/01/2023 12:00h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	3 - 1	AD Sporting Hortaleza	C. y D. Leonesa S.A.D.
3872676	División de Honor Juvenil	Jornada 16	15/01/2023 15:00h	Ciudad: Leganés	Estadio: Instalación Deportiva Butarque	3 - 1	C.D. Leganés SAD	C.D. Col. Diocesano
3872677	División de Honor Juvenil	Jornada 16	14/01/2023 16:30h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	1 - 2	C.F. Rayo Majadahonda	Rayo Ciudad Alcobendas CF
3872678	División de Honor Juvenil	Jornada 17	22/01/2023 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	4 - 0	Rayo Ciudad Alcobendas CF	U.D. La Cruz Villanovense
3872679	División de Honor Juvenil	Jornada 17	21/01/2023 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	1 - 4	Getafe C.F. SAD	Club Atlético de Madrid SAD
3872680	División de Honor Juvenil	Jornada 17	21/01/2023 12:00h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	1 - 0	Real Valladolid C.F. S.A.D.	C.F. Fuenlabrada SAD
