id_partido	team	jugador	minuto_gol	propia_puerta	penalty
3872781	away	Hugo 	35	False	False
3872782	home	Tallal 	46	False	False
3872782	away	Mota 	2	False	False
3872783	home	Carlos 	5	False	False
3872783	home	Carlos 	36	False	False
3872783	home	Pe	85	False	False
3872783	away	Jesus Javier 	62	False	False
3872783	away	Mciver 	57	False	False
3872784	home	Arturo 	13	False	False
3872784	home	Arturo 	51	False	False
3872784	home	Iker 	38	False	False
3872784	home	Daniel 	85	False	False
3872785	home	Garcia 	13	False	False
3872785	home	Garcia 	36	False	False
3872785	home	Garcia 	39	False	False
3872785	home	Garcia 	57	False	False
3872785	home	Nobrega 	29	False	False
3872785	home	Duran 	61	False	False
3872785	home	Cesar 	61	False	False
3872785	away	Sergio M	3	True	False
3872785	away	Iker 	82	False	False
3872786	home	Blazquez 	83	False	False
3872786	away	Calvo 	43	False	False
3872786	away	Amaro 	1	False	False
3872788	home	Ribeiro 	19	False	False
3872788	home	Aday 	55	False	False
3872788	home	Jesus 	71	False	True
3872788	home	Alejandro 	88	False	True
3872788	away	Garcia 	89	False	True
3872789	home	Carvajal 	85	False	False
3872789	home	Fernandez 	90	False	False
3872789	away	Fernandez 	53	False	False
