id_partido	team	minutes	dorsal	jugador	titular	suplente
3872559	away	19	9	Perez	False	True
3872559	away	27	11	Pujol	False	True
3872559	away	27	12	Martin	False	True
3872559	away	0	13	Ortega	False	True
3872559	away	0	16	Ortueta	False	True
3872559	away	22	21	Guerrero	False	True
3872559	away	27	23	Garcia	False	True
3872560	home	90	1	Rios	True	False
3872560	home	78	2	Requena	True	False
3872560	home	90	3	Rodriguez	True	False
3872560	home	90	4	Lopez	True	False
3872560	home	90	5	Silva	True	False
3872560	home	90	7	Sierra	True	False
3872560	home	62	8	Sanchez	True	False
3872560	home	90	9	Sevillano	True	False
3872560	home	78	10	Amaro	True	False
3872560	home	90	19	Martinez	True	False
3872560	home	75	20	Calvo	True	False
3872560	away	90	1	Fernando	True	False
3872560	away	90	2	Iago	True	False
3872560	away	90	3	Hugo	True	False
3872560	away	90	4	Daniel	True	False
3872560	away	42	5	Diego	True	False
3872560	away	90	6	Jesus	True	False
3872560	away	46	7	Nico	True	False
3872560	away	72	8	Cristian	True	False
3872560	away	84	9	Alexander	True	False
3872560	away	90	10	Jorge	True	False
3872560	away	84	11	Aday	True	False
3872560	home	0	12	Godino	False	True
3872560	home	0	13	Rubio	False	True
3872560	home	15	14	Arevalo	False	True
3872560	home	12	15	Redondo	False	True
3872560	home	0	16	Alba	False	True
3872560	home	12	17	Morales	False	True
3872560	home	28	18	Pacheco	False	True
3872560	away	48	12	Adrian	False	True
3872560	away	0	13	Gonzalo	False	True
3872560	away	44	14	De Azevedo	False	True
3872560	away	0	15	Pros	False	True
3872560	away	18	16	Alejandro	False	True
3872560	away	6	17	Van Wesemael	False	True
3872560	away	6	18	Hector Nieto	False	True
3872561	home	90	1	Dario	True	False
3872561	home	90	2	Guillermo	True	False
3872561	home	46	3	Yeray	True	False
3872561	home	90	4	Mario	True	False
3872561	home	90	5	Alberto	True	False
3872561	home	46	6	Brian	True	False
3872561	home	78	7	Santiago	True	False
3872561	home	46	8	Raúl	True	False
3872561	home	90	9	Iker	True	False
3872561	home	90	10	Victor	True	False
3872561	home	46	11	Eduardo Temesgen	True	False
3872561	away	90	1	Calado	True	False
3872561	away	90	2	Lopez	True	False
3872561	away	90	3	Robles	True	False
3872561	away	90	4	Joan Javier	True	False
3872561	away	90	5	De Sancha	True	False
3872561	away	90	6	Mogollon	True	False
3872561	away	52	7	Moraga	True	False
3872561	away	79	8	Ybarra	True	False
3872561	away	68	9	Nater	True	False
3872561	away	68	10	Perera	True	False
3872561	away	90	11	Torres	True	False
3872561	home	44	12	Iker	False	True
3872561	home	0	13	Alejandro	False	True
3872561	home	44	14	Sergio M.	False	True
3872561	home	44	15	Daniel	False	True
3872561	home	44	16	Mario	False	True
3872561	home	12	17	Raul	False	True
3872561	home	0	18	David	False	True
3872561	away	11	12	Facundo	False	True
3872561	away	0	13	Ramos	False	True
3872561	away	11	14	Becerra	False	True
3872561	away	0	15	Sanchez	False	True
3872561	away	22	16	Marcos	False	True
3872561	away	22	17	Alonso	False	True
3872561	away	11	18	Savchuk	False	True
3872562	home	90	1	Perez	True	False
3872562	home	90	4	Izquierdo	True	False
3872562	home	65	5	Lozano	True	False
3872562	home	46	8	Rojas	True	False
3872562	home	90	9	Gonzalez	True	False
3872562	home	56	11	Conejero	True	False
3872562	home	90	14	Molina	True	False
3872562	home	90	17	Rodriguez	True	False
3872562	home	90	19	Palacios	True	False
3872562	home	72	20	Sanchez	True	False
3872562	home	72	22	Lopez	True	False
3872562	away	90	1	Hernandez	True	False
3872562	away	90	2	Garcia	True	False
3872562	away	90	3	Salas	True	False
3872562	away	90	4	Mari	True	False
3872562	away	90	6	J.NAVARRO	True	False
3872562	away	56	7	Joaquin	True	False
3872562	away	83	9	Elias	True	False
3872562	away	83	10	Garcia	True	False
3872562	away	72	11	Ignacio	True	False
3872562	away	90	14	Garcia	True	False
3872562	away	83	16	Emanuelle	True	False
3872562	home	0	6	Barroso	False	True
3872562	home	34	7	Tamudo	False	True
3872562	home	25	23	Mata	False	True
3872562	home	18	24	Andrade	False	True
3872562	home	0	25	Gragera	False	True
3872562	home	18	26	Corchero	False	True
3872562	home	44	27	Gervilla	False	True
3872562	away	0	13	Petkov	False	True
3872562	away	7	15	Osorio	False	True
3872562	away	18	17	Garcia	False	True
3872562	away	7	20	Blazquez	False	True
3872562	away	0	21	Diaby	False	True
3872562	away	34	22	Fernandez	False	True
3872562	away	7	23	Di Domenico	False	True
3872563	home	90	1	Martinez	True	False
3872563	home	51	2	Adino	True	False
3872563	home	90	4	Adrian	True	False
3872563	home	90	6	Cervera	True	False
3872563	home	74	7	Alhambra	True	False
3872563	home	90	8	Andres	True	False
3872563	home	46	9	Hugo	True	False
3872563	home	74	10	Marcos	True	False
3872563	home	90	11	Mciver	True	False
3872563	home	60	24	Miguel	True	False
3872563	home	90	25	Javier	True	False
3872563	away	90	1	Piñeiro	True	False
3872563	away	73	2	Jimenez	True	False
3872563	away	90	3	Serrano	True	False
3872563	away	90	4	Camero	True	False
3872563	away	73	7	Yeray	True	False
3872563	away	63	8	Moran	True	False
3872563	away	90	10	Paz	True	False
3872563	away	63	11	Julen	True	False
3872563	away	90	24	Ramon	True	False
3872563	away	90	26	Chema	True	False
3872563	away	63	27	Hernandez	True	False
3872563	home	39	3	Alvaro	False	True
3872563	home	16	12	Diego	False	True
3872563	home	0	13	Alejandro	False	True
3872563	home	16	14	Salcedo	False	True
3872563	home	30	15	David	False	True
3872563	home	44	16	Ivan	False	True
3872563	home	0	23	Raul	False	True
3872563	away	0	5	Sotres	False	True
3872563	away	17	9	Herrero	False	True
3872563	away	0	13	Quetglas	False	True
3872563	away	17	14	Alejandro	False	True
3872563	away	27	15	Garcia	False	True
3872563	away	27	17	Cesar	False	True
3872563	away	27	23	Fortuny	False	True
3872564	home	90	2	Sanchez	True	False
3872564	home	90	3	Fernandez	True	False
3872564	home	90	4	Rodriguez	True	False
3872564	home	90	5	Luis	True	False
3872564	home	90	6	Herrero	True	False
3872564	home	66	7	Moreno	True	False
3872564	home	90	8	Awuah	True	False
3872564	home	89	9	Magariño	True	False
3872564	home	79	10	Adrian	True	False
3872564	home	66	11	Martin	True	False
3872564	home	90	13	Luciano	True	False
3872564	away	90	1	Francisco Javier	True	False
3872564	away	90	2	Guzman	True	False
3872564	away	90	3	Lisandro	True	False
3872564	away	90	4	Alvano	True	False
3872564	away	90	5	Hugo	True	False
3872564	away	50	6	Oliver	True	False
3872564	away	90	7	Jose Carlos	True	False
3872564	away	90	8	Adrian	True	False
3872564	away	90	9	Alfonso	True	False
3872564	away	64	10	Roberto	True	False
3872564	away	64	11	Diego	True	False
3872564	home	0	1	Jimenez	False	True
3872564	home	0	12	Akumagoa	False	True
3872564	home	11	14	De La Fuente	False	True
3872564	home	0	15	Puente	False	True
3872564	home	24	16	Adrian	False	True
3872564	home	24	17	Mera	False	True
3872564	home	1	18	Llanos	False	True
3872564	away	0	12	Hugo	False	True
3872564	away	0	13	Adrian	False	True
3872564	away	40	14	Daniel	False	True
3872564	away	0	15	Angel	False	True
